대수,의안구분명,의안구분명,접수건수,처리건수,보류건수
제15대,결의안,일반,222,222,0
제15대,결의안,결의안소계,222,222,0
제15대,건의안,건의안,11,11,0
제15대,규칙안,규칙안,9,9,0
제15대,중요동의,중요동의,96,96,0
제15대,의원징계,의원징계,44,44,0
제15대,윤리심사,윤리심사,11,11,0
제15대,총계,총계,2570,2570,0
제14대,예산안,예산안,7,7,0
제14대,결산,결산,4,4,0
제14대,법률안,의원발의,321,321,0
제14대,법률안,정부제출,581,581,0
제14대,법률안,법률안소계,902,902,0
제14대,동인안,동의(승인)안,191,191,0
제14대,결의안,일반,199,199,0
제14대,결의안,결의안소계,199,199,0
제14대,건의안,건의안,51,51,0
제14대,규칙안,규칙안,15,15,0
제14대,중요동의,중요동의,67,67,0
제14대,의원징계,의원징계,3,3,0
제14대,총계,총계,1439,1439,0
제13대,예산안,예산안,10,10,0
제13대,결산,결산,4,4,0
제13대,법률안,의원발의,570,570,0
제13대,법률안,정부제출,368,368,0
제13대,법률안,법률안소계,938,938,0
제13대,동인안,동의(승인)안,230,230,0
제13대,결의안,일반,143,143,0
제13대,결의안,결의안소계,143,143,0
제13대,건의안,건의안,14,14,0
제13대,규칙안,규칙안,10,10,0
제13대,중요동의,중요동의,68,68,0
제13대,의원징계,의원징계,5,5,0
제13대,기타안,기타안,17,17,0
제13대,총계,총계,1439,1439,0
제12대,헌법개정,헌법개정,1,1,0
제12대,예산안,예산안,5,5,0
제12대,결산,결산,3,3,0
제12대,법률안,의원발의,210,210,0
제12대,법률안,정부제출,168,168,0
제12대,법률안,법률안소계,378,378,0
제12대,동인안,동의(승인)안,74,74,0
제12대,결의안,일반,102,102,0
제12대,결의안,결의안소계,102,102,0
제12대,건의안,건의안,18,18,0
제12대,규칙안,규칙안,2,2,0
제12대,중요동의,중요동의,43,43,0
제12대,의원징계,의원징계,2,2,0
제12대,기타안,기타안,13,13,0
제12대,총계,총계,641,641,0
제11대,예산안,예산안,7,7,0
제11대,결산,결산,4,4,0
제11대,법률안,의원발의,204,204,0
제11대,법률안,정부제출,287,287,0
제11대,법률안,법률안소계,491,491,0
제11대,동인안,동의(승인)안,91,91,0
제11대,결의안,일반,100,100,0
제11대,결의안,결의안소계,100,100,0
제11대,건의안,건의안,18,18,0
제11대,규칙안,규칙안,4,4,0
제11대,중요동의,중요동의,47,47,0
제11대,기타안,기타안,12,12,0
제11대,총계,총계,774,774,0
제10대,헌법개정,헌법개정,1,1,0
제10대,예산안,예산안,4,4,0
제10대,결산,결산,2,2,0
제10대,법률안,의원발의,5,5,0
제10대,법률안,정부제출,124,124,0
제10대,법률안,법률안소계,129,129,0
제10대,동인안,동의(승인)안,128,128,0
제10대,결의안,일반,19,19,0
제10대,결의안,결의안소계,19,19,0
제10대,건의안,건의안,6,6,0
제10대,규칙안,규칙안,1,1,0
제10대,중요동의,중요동의,16,16,0
제10대,의원징계,의원징계,1,1,0
제10대,기타안,기타안,2,2,0
제10대,총계,총계,309,309,0
제9대,예산안,예산안,12,12,0
제9대,결산,결산,6,6,0
제9대,법률안,의원발의,154,154,0
제9대,법률안,정부제출,479,479,0
제9대,법률안,법률안소계,633,633,0
제9대,동인안,동의(승인)안,106,106,0
제9대,결의안,일반,104,104,0
제9대,결의안,결의안소계,104,104,0
제9대,건의안,건의안,22,22,0
제9대,규칙안,규칙안,4,4,0
제9대,중요동의,중요동의,48,48,0
제9대,의원징계,의원징계,9,9,0
제9대,기타안,기타안,7,7,0
제9대,총계,총계,951,951,0
제8대,예산안,예산안,3,3,0
제8대,결산,결산,0,0,0
제8대,법률안,의원발의,14,14,0
제8대,법률안,정부제출,35,35,0
제8대,법률안,법률안소계,49,49,0
제8대,동인안,동의(승인)안,30,30,0
제8대,결의안,일반,24,24,0
제8대,결의안,결의안소계,24,24,0
제8대,건의안,건의안,11,11,0
제8대,규칙안,규칙안,5,5,0
제8대,중요동의,중요동의,17,17,0
제8대,기타안,기타안,2,2,0
제8대,총계,총계,141,141,0
제7대,헌법개정,헌법개정,1,1,0
제7대,예산안,예산안,11,11,0
제7대,결산,결산,4,4,0
제7대,법률안,의원발의,243,243,0
제7대,법률안,정부제출,291,291,0
제7대,법률안,법률안소계,534,534,0
