이름,정당명,선거구,대표 위원회,재선,당선,성별
이진숙,국민의힘,대구 달성군,과학기술정보방송통신위원회,초선,제22대,여
이철규,국민의힘,강원 동해시태백시삼척시정선군,기후에너지환경노동위원회,3선,"제20대, 제21대, 제22대",남
이춘석,무소속,전북 익산시갑,재정경제기획위원회,4선,"제18대, 제19대, 제20대, 제22대",남
이학영,더불어민주당,경기 군포시,기후에너지환경노동위원회,4선,"제19대, 제20대, 제21대, 제22대",남
이해민,조국혁신당,비례대표,정무위원회,초선,제22대,여
이해식,더불어민주당,서울 강동구을,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 행정안전위원회",재선,"제21대, 제22대",남
이헌승,국민의힘,부산 부산진구을,"기후위기 특별위원회, 재정경제기획위원회",4선,"제19대, 제20대, 제21대, 제22대",남
이훈기,더불어민주당,인천 남동구을,"기획재정위원회, 과학기술정보방송통신위원회",초선,제22대,남
임문영,더불어민주당,전남광주통합특별시 광산구을,산업통상자원중소벤처기업위원회,초선,제22대,남
임미애,더불어민주당,비례대표,"국회운영위원회, 농림축산식품해양수산위원회",초선,제22대,여
임오경,더불어민주당,경기 광명시갑,문화체육관광위원회,재선,"제21대, 제22대",여
임이자,국민의힘,경북 상주시문경시 ,"재정경제기획위원회, 예산결산특별위원회",3선,"제20대, 제21대, 제22대",여
임종득,국민의힘,경북 영주시영양군봉화군,국방위원회,초선,제22대,남
임호선,더불어민주당,충북 증평군진천군음성군,"예산결산특별위원회, 행정안전위원회",재선,"제21대, 제22대",남
장경태,무소속,서울 동대문구을,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국토교통위원회",재선,"제21대, 제22대",남
장동혁,국민의힘,충남 보령시서천군,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 교육위원회",재선,"제21대, 제22대",남
장종태,더불어민주당,대전 서구갑,국토교통위원회,초선,제22대,남
장철민,더불어민주당,대전 동구,산업통상자원중소벤처기업위원회,재선,"제21대, 제22대",남
전용기,더불어민주당,경기 화성시정,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 국토교통위원회, 국회운영위원회",재선,"제21대, 제22대",남
전은수,더불어민주당,충남 아산시을,"산업통상자원중소벤처기업위원회, 성평등가족위원회",초선,제22대,여
전종덕,진보당,비례대표,"연금개혁 특별위원회, 보건복지위원회",초선,제22대,여
전진숙,더불어민주당,전남광주통합특별시 북구을,"보건복지위원회, 예산결산특별위원회",초선,제22대,여
전현희,더불어민주당,서울 중구성동구갑,정무위원회,3선,"제18대, 제20대, 제22대",여
정동만,국민의힘,부산 기장군,국토교통위원회,재선,"제21대, 제22대",남
